provider,model,temperature,image,base_command,addition,transcribe_text,raw_score,corrected_score,raw_change_count,corrected_change_count,delta_time_in_s,certainty,student_handwriting_percent
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof,stof  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.003942645788192749,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,toets,toets  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,0.6242461548802998,17,6,0.006574586391448974,0.95,0.98
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag,antwoordmodel bij vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.006651018857955933,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-toets-antwoordmodel,stof-toets-antwoordmodel  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.0038127284049987793,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.005796124696731567,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof,stof  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.003935015678405761,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,toets,toets  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,0.6242461548802998,17,6,0.006244471788406372,0.95,0.98
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag,antwoordmodel bij vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.005104160308837891,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-toets-antwoordmodel,stof-toets-antwoordmodel  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.0037641086578369142,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.7666666666666666,1.7666666666666666,12,12,0.005524456739425659,,100.0
